–¿«¡»¬¿“‹—ﬂ;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;
«¿–¿«»“≈À‹Õ€…;-1;-1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
ƒ¿ÀÀ¿—;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;
œŒ¬“Œ–»“‹—ﬂ;-1;-1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;6;1;0;0;3;0;3;0;1;0;2;3;1;0;0;0;1;1;0;0;0;0;0;1;0;3;0;0;0;1;1;2;0;0;2;1;1;1;2;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1;1;0;0;1;0;0;0;0;0;1;2;0;1;0;0;0;
¡ŒÀ‹ÿ≈¬» ;-1;-1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;
√Œ–≈—“‹;-1;-1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
“ŒÕ;-1;-1;0;6;6;6;0;4;9;6;7;5;17;11;4;0;1;1;19;4;12;3;6;13;5;0;0;12;0;10;12;0;3;2;5;4;11;0;4;1;0;3;3;7;0;2;1;11;4;10;3;2;14;8;12;15;2;9;11;2;8;8;1;1;4;4;2;0;2;5;4;6;1;7;1;5;1;5;19;6;0;0;2;36;8;1;2;20;7;1;2;11;1;8;1;6;17;1;1;3;5;2;
–¿«¬≈–Õ”¬ÿ»—‹;-1;-1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;2;
”–¿;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;1;1;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
ﬂ;¬–≈Ãﬂ;1;5;6;12;17;2;5;19;14;13;14;16;11;7;4;11;11;25;17;16;13;8;11;4;9;7;13;8;24;15;10;9;8;13;23;7;12;14;13;4;8;24;17;3;4;10;12;10;11;4;9;15;13;21;20;3;12;11;18;7;19;2;3;16;2;11;0;4;27;16;10;22;9;5;14;17;12;9;8;0;1;9;10;7;20;7;11;10;0;14;6;6;11;10;14;15;8;12;15;8;9;
