мейнрнпши;бпелъ;1,000000;0,000000;0,000000;0,000000;0,000000;
окевн;онфюрэ;1,000000;0,000000;0,000000;0,000000;0,000000;
янярнъмхе;ъ;0,691185;0,818237;1,000000;0,918541;0,860182;
лхмсрю;щрнр;1,000000;0,000000;0,000000;0,000000;0,000000;
ъямши;ъ;0,567303;1,000000;0,794131;0,714951;0,721938;
якедсчыхи;ъ;0,000000;1,000000;0,676850;0,639415;0,695353;
рнр;лшякэ;0,000000;1,000000;0,000000;0,000000;0,000000;
ъ;дбю;0,283634;0,857025;1,000000;0,956810;0,940261;
ъ;онлнвэ;1,000000;0,380334;0,362465;0,326619;0,321204;
ъ;лхп;0,594868;0,735225;0,911742;0,965008;1,000000;
депфюрэяъ;ъ;0,000000;1,000000;0,000000;0,000000;0,000000;
хяонкэгнбюрэ;ъ;1,000000;0,000000;0,000000;0,000000;0,000000;
нярюрэяъ;ъ;1,000000;0,952774;0,748688;0,730322;0,735757;
опхирх;ъ;1,000000;0,747939;0,656281;0,657435;0,651830;
ъ;онопнанбюрэ;1,000000;0,806742;0,796255;0,000000;0,000000;
ашрэ;леярн;0,000000;0,964927;1,000000;0,000000;0,000000;
бшмсфдеммши;ашрэ;1,000000;0,000000;0,000000;0,000000;0,000000;
бяе;ябни;1,000000;0,577990;0,862665;0,795816;0,780355;
ъ;сдюпхрэ;1,000000;0,000000;0,000000;0,000000;0,000000;
яеярпю;ъ;0,797747;0,931867;0,947425;1,000000;0,953863;
бгкнлюммши;0,000000;0,000000;0,000000;0,000000;0,000000;
ундхрэ;ъ;0,948476;1,000000;0,864296;0,783745;0,839623;
ъ;янярнъмхе;0,691185;0,818237;1,000000;0,918541;0,860182;
наю;псйю;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;пюд;0,724483;1,000000;0,000000;0,000000;0,000000;
ъ;бшохрэ;1,000000;0,973286;0,897596;0,000000;0,894034;
ъ;опнирх;1,000000;0,960492;0,775252;0,941483;0,998882;
лмнцн;бяе;1,000000;0,000000;0,000000;0,000000;0,000000;
оърэ;керн;1,000000;0,000000;0,000000;0,000000;0,000000;
напюыюрэ;бмхлюмхе;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;менаундхлши;1,000000;0,696373;0,594819;0,627979;0,626943;
ъ;якегю;0,000000;0,924738;1,000000;0,834670;0,875386;
опхфюрэ;ъ;1,000000;0,000000;0,000000;0,000000;0,000000;
псйю;ъ;0,907853;1,000000;0,775123;0,834700;0,800811;
ъ;мелмнцн;0,662698;1,000000;0,819196;0,751240;0,743304;
йнрнпши;щрнр;0,000000;0,000000;1,000000;0,912322;0,971564;
лнфмн;яйюгюрэ;1,000000;0,000000;0,000000;0,000000;0,000000;
опхбегрх;ъ;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;саедхрэ;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;бмсрпх;1,000000;0,000000;0,000000;0,000000;0,000000;
ашрэ;дерэ;1,000000;0,934458;0,904607;0,862427;0,879948;
опнхяундхрэ;ъ;0,948336;0,914186;0,000000;0,938704;1,000000;
ъ;опедонвхрюрэ;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;сярюбхрэяъ;0,000000;1,000000;0,000000;0,000000;0,000000;
векнбей;ашрэ;0,733216;1,000000;0,890459;0,775029;0,765607;
йнрнпши;ъ;1,000000;0,321990;0,435426;0,552870;0,640532;
онякюрэ;ъ;1,000000;0,542534;0,444758;0,456760;0,475821;
ъ;релмши;0,000000;0,818989;0,951138;0,942254;1,000000;
ъ;пюгасдхрэ;1,000000;0,000000;0,000000;0,000000;0,000000;
ондундхрэ;ъ;0,000000;1,000000;0,000000;0,000000;0,000000;
ъ;сун;0,589901;1,000000;0,658329;0,643700;0,666352;
ашрэ;ндхм;0,812522;0,962783;1,000000;0,901565;0,872348;
цнкня;гбсвюрэ;0,000000;1,000000;0,000000;0,000000;0,000000;
онбеярх;ъ;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;хгбеярмши;1,000000;0,879108;0,570079;0,529656;0,531923;
щрнр;днл;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;бняйкхймсрэ;1,000000;0,694038;0,735658;0,709411;0,703412;
беяэ;яхкю;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;леврюрэ;1,000000;0,000000;0,000000;0,000000;0,000000;
бгцкъмсрэ;ъ;0,536199;1,000000;0,502879;0,495681;0,524887;
лмнцн;керн;1,000000;0,000000;0,000000;0,000000;0,000000;
гкни;ъ;0,000000;1,000000;0,944598;0,000000;0,000000;
ъ;реоепэ;1,000000;0,536173;0,481594;0,545239;0,564344;
ъ;кчахлши;1,000000;0,000000;0,000000;0,961538;0,997115;
ъ;сундхрэ;1,000000;0,865680;0,725100;0,737621;0,756403;
еярэ;еые;1,000000;0,000000;0,000000;0,000000;0,000000;
лпювмши;ъ;0,000000;1,000000;0,000000;0,000000;0,000000;
онбепмсрэяъ;ъ;0,899594;1,000000;0,587221;0,713320;0,680189;
ъ;нрйпшрэ;1,000000;0,504526;0,449023;0,496903;0,530967;
ъ;яремю;0,000000;0,726937;0,846073;1,000000;0,967317;
меярх;ъ;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;онгбнкърэ;1,000000;0,000000;0,000000;0,000000;0,000000;
дбю;вюя;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;мпюбхрэяъ;1,000000;0,993066;0,668613;0,509489;0,485401;
опнхгмеярх;ъ;1,000000;0,505858;0,548717;0,607000;0,599585;
янлмебюрэяъ;ъ;0,000000;1,000000;0,575845;0,579710;0,525121;
рнр;лемее;0,000000;1,000000;0,000000;0,000000;0,000000;
рнр;рнр;0,000000;0,000000;0,000000;0,817647;1,000000;
ъ;янаярбеммши;0,745610;0,917517;1,000000;0,970192;0,930176;
ашрэ;йюйни;0,672497;1,000000;0,964415;0,993969;0,895054;
